;;Rende;Rancapanggung;Sarimukti;Sirnaraja;Neglasari;;;Mekarwangi;Tanimulya;;;;;Weninggalih;;;;;;;;;;;;;;;
;;Tenjolaut;;Sumurbandung;Sukahaji;Sarinagen;;;Pagerwangi;;;;;;;;;;;;;;;;;;;;;
;;Wangunjaya;;;;Sirnagalih;;;Sukajaya;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sukamulya;;;Suntenjaya;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Wangunharja;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Wangunsari;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;Kabupaten Sumedang;;;;;
Buahdua;Cibugel;Cimalaka;Cimanggung;Cisarua;Cisitu;Conggeang;Darmaraja;Ganeas;Jatigede;Jatinangor;Jatinunggal;Pamulihan;Paseh;Rancakalong;Situraja;Sukasari;Sumedang Selatan;Sumedang Utara;Surian;Tanjungkerta;Tanjungmedar;Tanjungsari;Tomo;Wado;Ujung Jaya;;;;;
Bojongloa;Buana Mekar;Cibeureum Kulon;Cihanjuang;Bantarmara;Cigintung;Babakan Asem;Cieunteung;Cikondang;Cijeungjing;Cibeusi;Banjarsari;Cigendel;Bongkok;Cibunar;Ambit;Banyuresmi;Baginda;Girimukti;Nanjungwangi;Awilega;Cikaramas;Cijambu;Bugel;Cikareo Selatan;Cibuluh;;;;;
Buahdua;Cibugel;Cibeureum Wetan;Cikahuripan;Cimara;Cilopang;Cacaban;Cikeusi;Cikoneng;Cintajaya;Cikeruh;Cimanintin;Cijeruk;Cijambe;Cibungur;Bangbayang;Genteng;Ciherang;Jatihurip;Pamekarsari;Banyuasih;Jingkang;Cinanjung;Cicarimanah;Cikareo Utara;Cipelang;;;;;
Ciawitali;Cipasang;Cikole;Cimanggung;Cipandanwangi;Cimarga;Cibeureuyeuh;Cipeuteuy;Cikonengkulon;Cipicung;Cilayung;Cipeundeuy;Cilembu;Citepok;Nagarawangi;Cicarimanah;Mekarsari;Cipancar;Jatimulya;Ranggasari;Boros;Kamal;Gudang;Cipeles;Cilengkrang;Kebon Cau;;;;;
